# Pathway	CSM9X23N_Abundance	HSM6XRQY_Abundance	HSM7J4NY_Abundance	HSMA33KE_Abundance	HSMA33OT_Abundance	MSM6J2QD_Abundance
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_faecis	0	0	0	0.000174112	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_finegoldii	0.000385411	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_fragilis	3.77588e-06	0.000440598	0	0.000150309	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_fragilis_CAG_47	0	0.000326408	0	9.06933e-05	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	0.000273655	0.000967696	0	0.000474637	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	0	0.0040257	0	0	0.000278475	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0.000653892	0.000201372	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0.00136263	0	0	0.000511324	0.000292448	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	0.00132665	0	0	0.000389189	0.000186701	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.00181073	0.00229678	0	0.00181312	0.000611873	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	0.00114698	0.00159985	0	0.000533479	0.000136051	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens	4.20928e-06	0	0	0.000324705	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	0.000257466	0	0	9.14722e-05	0.000201565	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|unclassified	0	0	0	0	8.00268e-05	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.003289	0.00118789	0	0.00588138	0.00268765	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0.000151349	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Anaerotignum.s__Anaerotignum_lactatifermentans	0	0	0	0.000141576	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Blautia.s__Ruminococcus_torques	0	6.52305e-05	0	0.000989738	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Dorea.s__Dorea_formicigenerans	0	0	0	2.10037e-05	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Dorea.s__Dorea_formicigenerans_CAG_28	0	0	0	2.94254e-05	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Eubacterium.s__Eubacterium_hallii	0	0	0	0.00013828	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Eubacterium.s__Eubacterium_hallii_CAG_12	0	0	0	0.000146724	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Eubacterium.s__Eubacterium_ventriosum	0	0	0	0.000114285	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.000701618	0	0	0.000115371	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Flavonifractor.s__Flavonifractor_plautii	0	0	0	0.000145064	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	0	0	0	0.000266855	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	0	4.81427e-05	0	0.000226133	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Parasutterella.s__Parasutterella_excrementihominis	0	0	0	0.00011463	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Phascolarctobacterium.s__Phascolarctobacterium_faecium	0	0	0	0.000168627	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Roseburia.s__Roseburia_faecis	0.000144958	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Roseburia.s__Roseburia_sp_CAG_471	0	0	0	0.000103489	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	0.000809189	0.0001226	0	0.000995097	0.00109806	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.00277892	0.000869806	0	0.00564848	0.00177334	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0.00017141	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Anaerotignum.s__Anaerotignum_lactatifermentans	0	0	0	0.000144612	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Blautia.s__Ruminococcus_gnavus	0	4.40531e-05	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Blautia.s__Ruminococcus_torques	0	8.52857e-05	0	0.001039	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Dorea.s__Dorea_formicigenerans	0	0	0	2.34404e-05	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Dorea.s__Dorea_formicigenerans_CAG_28	0	0	0	3.32397e-05	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Dorea.s__Dorea_longicatena	0	0	0	2.51218e-05	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Dorea.s__Dorea_longicatena_CAG_42	0	0	0	6.32468e-05	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Eubacterium.s__Eubacterium_hallii	0	0	0	0.000148963	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Eubacterium.s__Eubacterium_hallii_CAG_12	0	0	0	0.000134096	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Eubacterium.s__Eubacterium_ventriosum	0	0	0	0.000127214	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.000653325	0	0	0.000119296	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Flavonifractor.s__Flavonifractor_plautii	0	0	0	0.000145947	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	0	0	0	0.000260727	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	0	4.62377e-05	0	0.000235999	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Parasutterella.s__Parasutterella_excrementihominis	0	0	0	0.000161558	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Phascolarctobacterium.s__Phascolarctobacterium_faecium	0	0	0	0.00019003	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Roseburia.s__Roseburia_faecis	0.000160152	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Roseburia.s__Roseburia_sp_CAG_471	0	0	0	0.000120658	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|unclassified	0.000859587	0.00012147	0	0.000985226	0.00118082	0
ARO-PWY: chorismate biosynthesis I	0.00713571	0.0055374	0	0.00865016	0.00684406	0
ARO-PWY: chorismate biosynthesis I|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0.000117314	0	0
ARO-PWY: chorismate biosynthesis I|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0.000240913	0	0
ARO-PWY: chorismate biosynthesis I|g__Blautia.s__Ruminococcus_torques	0	6.19249e-05	0	0.00101066	0	0
ARO-PWY: chorismate biosynthesis I|g__Eubacterium.s__Eubacterium_hallii	0	0	0	0.000114453	0	0
ARO-PWY: chorismate biosynthesis I|g__Eubacterium.s__Eubacterium_hallii_CAG_12	0	0	0	0.000112418	0	0
ARO-PWY: chorismate biosynthesis I|g__Eubacterium.s__Eubacterium_ventriosum	0	0	0	7.01603e-05	0	0
ARO-PWY: chorismate biosynthesis I|g__Flavonifractor.s__Flavonifractor_plautii	0	0	0	0.000143161	0	0
ARO-PWY: chorismate biosynthesis I|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	0	0	0	0.000241091	0	0
ARO-PWY: chorismate biosynthesis I|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	0	7.38688e-05	0	0.000234685	0	0
ARO-PWY: chorismate biosynthesis I|g__Parabacteroides.s__Parabacteroides_distasonis	0.000374817	0	0	0.000133317	0	0
ARO-PWY: chorismate biosynthesis I|g__Parabacteroides.s__Parabacteroides_merdae	0	0.000724287	0	0.000244842	0	0
ARO-PWY: chorismate biosynthesis I|g__Parasutterella.s__Parasutterella_excrementihominis	0	0	0	0.000115886	0	0
ARO-PWY: chorismate biosynthesis I|g__Roseburia.s__Roseburia_faecis	0.000128691	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|unclassified	0.000384933	0	0	0.00102685	0.00109587	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.00904844	0.0113719	0.0110781	0.0070559	0.010527	0.00823937
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_dorei	0.000323912	0	0	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_eggerthii	0.0010582	0	0	0	0.000251033	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_fragilis	0	0.000720882	0	0.000188757	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_fragilis_CAG_47	0	0.000585766	0	0.000144884	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	0	0.00474119	0	0	0.000445002	0.00171424
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0.00144731	0	0	0.00034292	2.04262e-05	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	0.000861987	0	0	0.000373666	2.99058e-05	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.00187124	0.00242825	0	0.00160347	0.00131071	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	0.00138171	0.00223064	0	0.00126321	0.00163602	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Blautia.s__Ruminococcus_torques	0	0	0	0.000302178	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Flavonifractor.s__Flavonifractor_plautii	5.94389e-05	5.5285e-05	0	0.000123692	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	0.000314945	0	0	0.000140749	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|unclassified	5.59431e-05	3.59346e-05	0	0.000416214	0.00129512	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.00293615	0.00425008	0	0.00171528	0.00170896	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.0100668	0.0110545	0	0.00977893	0.00708436	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0.000245881	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0.000207925	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bacteroides.s__Bacteroides_caccae	0.000419315	0	0	0.000377116	5.159e-05	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bacteroides.s__Bacteroides_eggerthii	0.00102617	0	0	0	0.000108663	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bacteroides.s__Bacteroides_faecis	0	0	0	0.000165711	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bacteroides.s__Bacteroides_finegoldii	0.000527518	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bacteroides.s__Bacteroides_fragilis	0	0.000713941	0	0.000192655	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bacteroides.s__Bacteroides_fragilis_CAG_47	0	0.00046571	0	0.000152746	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	7.65716e-05	0.000883841	0	0.000309505	7.73233e-05	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	0	0.00379056	0	0	0.00161394	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0.000877338	0.000419866	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0.00184063	0	0	0.000560081	0.000222898	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	0.00124396	0	0	0.000422918	0.000192404	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens	0.000165692	0	0	0.000587787	6.37252e-05	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Blautia.s__Ruminococcus_torques	0	2.85252e-05	0	0.000870807	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Dorea.s__Dorea_formicigenerans	0	0	0	3.069e-05	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Dorea.s__Dorea_longicatena	0	0	0	4.12914e-05	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Dorea.s__Dorea_longicatena_CAG_42	0	0	0	8.10821e-05	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Eubacterium.s__Eubacterium_hallii	0	0	0	0.000140784	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Eubacterium.s__Eubacterium_hallii_CAG_12	0	0	0	0.000133813	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Eubacterium.s__Eubacterium_ventriosum	0	0	0	0.000116514	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Flavonifractor.s__Flavonifractor_plautii	7.9176e-05	0.000112223	0	0.0002274	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	0	0.000121791	0	0.000387789	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	0.000367136	0	0	0.000130059	0.000309103	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Parabacteroides.s__Parabacteroides_merdae	0	0.000424509	0	0.000200049	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Roseburia.s__Roseburia_inulinivorans	0	8.02717e-06	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Roseburia.s__Roseburia_inulinivorans_CAG_15	0	1.41144e-05	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|unclassified	0	0.000177642	0	0.000405218	0.000303476	0
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.00362764	0.0057207	0	0.00844427	0.0151991	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0.000241732	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Bacteroides.s__Bacteroides_fragilis	0	0.000108803	0	4.63894e-05	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Bacteroides.s__Bacteroides_fragilis_CAG_47	0	0.00044993	0	0.000125707	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Blautia.s__Ruminococcus_torques	0	7.40675e-05	0	0.000814613	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Eubacterium.s__Eubacterium_hallii	0	0	0	0.000228862	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Eubacterium.s__Eubacterium_hallii_CAG_12	0	0	0	0.000194705	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Flavonifractor.s__Flavonifractor_plautii	7.14059e-05	7.11649e-05	0	0.000180175	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	0	0	0	0.000267499	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	0	3.46766e-05	0	0.000330579	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Roseburia.s__Roseburia_faecis	0.000176987	0	0	0	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified	0.000110652	0.000134477	0	0.000665133	0.00320092	0
CENTFERM-PWY: pyruvate fermentation to butanoate	0.00032837	0.000122989	0	0.000591802	0	0
CITRULBIO-PWY: L-citrulline biosynthesis	0.0040899	0.00252301	0	0.00459808	0.00592985	0
CITRULBIO-PWY: L-citrulline biosynthesis|g__Flavonifractor.s__Flavonifractor_plautii	0	0	0	0.000131607	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.0108441	0.0125045	0.0128519	0.00885613	0.00498784	0.0154697
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0.000142074	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Alistipes.s__Alistipes_putredinis	0	0	0	0	0.000191754	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Alistipes.s__Alistipes_putredinis_CAG_67	0	0	0	0	0.000141388	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0.000149743	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Anaerotignum.s__Anaerotignum_lactatifermentans	0	0	0	0.000163432	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bacteroides.s__Bacteroides_caccae	0.000369321	0	0	0.000212821	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bacteroides.s__Bacteroides_dorei	0.000275939	0	0	0	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bacteroides.s__Bacteroides_eggerthii	0.00116945	0	0	0	5.09645e-05	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bacteroides.s__Bacteroides_faecis	0	0	0	0.000103944	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bacteroides.s__Bacteroides_finegoldii	0.000387295	0	0	0	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bacteroides.s__Bacteroides_fragilis	0.000113332	0.000886092	0	0.000316382	0	0
